"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 09 17:13:28 GMT 2022","Thu Jun 09 17:13:28 GMT 2022","937","","PaginationTest","","PaginationTest","PageSearchTest","PageSearchTest()",""
"passed","Thu Jun 09 17:13:29 GMT 2022","Thu Jun 09 17:13:31 GMT 2022","2069","","PaginationTest","","PaginationTest","PaginationPageTest","PaginationPageTest()",""
